,Unnamed: 0,id,name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
8385,8385,972218247170836285,Condo in Amsterdam · ★New · 2 bedrooms · 1 bed · 1 bath,2876582,De Pijp - Rivierenbuurt,52.34212153083445,4.90941136641054,Entire home/apt,211,7,0,,,1,55,0
2886,2886,26326181,Rental unit in Amsterdam · ★4.85 · 1 bedroom · 2 beds · 1 shared bath,125379310,Buitenveldert - Zuidas,52.33288,4.87265,Private room,60,2,89,2022-07-31,1.41,1,0,0
2888,2888,26380594,Rental unit in Amsterdam · ★4.83 · 2 bedrooms · 2 beds · 1.5 baths,10995699,De Baarsjes - Oud-West,52.35882,4.85991,Entire home/apt,443,1,6,2018-09-30,0.1,1,0,0
2891,2891,26465711,Townhouse in Amsterdam · ★5.0 · 3 bedrooms · 3 beds · 1.5 baths,4417000,Watergraafsmeer,52.35339,4.93679,Entire home/apt,250,4,17,2019-08-02,0.28,1,35,0
2892,2892,26482715,Rental unit in Amsterdam · ★4.79 · 1 bedroom · 1 bed · 1.5 baths,199160098,De Pijp - Rivierenbuurt,52.34336,4.89708,Private room,95,3,14,2022-08-29,0.23,2,0,0
7853,7853,925846276691817468,Condo in Amsterdam · ★New · 1 bedroom · 1 bed · 1 bath,378273319,De Baarsjes - Oud-West,52.36572,4.86595,Entire home/apt,170,14,0,,,4,245,0
2898,2898,26519263,Rental unit in Amsterdam · ★5.0 · 1 bedroom · 1 bed · 1 bath,37866198,De Baarsjes - Oud-West,52.3747,4.864,Entire home/apt,130,5,10,2022-02-14,0.16,1,0,0
2900,2900,26560199,Rental unit in Amsterdam · ★4.73 · Studio · 1 bed · 1 bath,142672615,IJburg - Zeeburgereiland,52.3732,4.97148,Entire home/apt,80,1,15,2020-02-08,0.24,1,0,0
2910,2910,26728654,Rental unit in Amsterdam · ★4.80 · 1 bedroom · 1 bed · 1 bath,200986878,De Pijp - Rivierenbuurt,52.35665,4.88819,Entire home/apt,192,3,6,2020-03-13,0.1,1,0,0
2913,2913,26744905,Rental unit in Amsterdam · ★4.80 · 1 bedroom · 1 bed · 1 bath,92509803,Westerpark,52.39062,4.88676,Entire home/apt,100,7,20,2021-09-29,0.32,1,0,0
